durakid	durakadi	enlem	boylam	sira	guzergahid
363	1. KADOĞLU SK ELÇİBEY SK KESİŞTİGİ YER.	40.044218	32.90836469999999	357	40
1058	2. ALPASLAN BLV. ALPEREN CD KESİŞTİGİ YER.	40.0431255	32.88902540000004	1005	40
1059	3. YUNUS EMRE CD. Ş SALİM AKGÜL CD KESİŞTİGİ YER.	40.0380005739026	32.89667980793456	1006	40
1060	4. ESKİKÖY CD. HALİM SK KESİŞTİGİ YER.	40.033073	32.89163400000007	1007	40
1143	5. GEDİZ CD.KUZEY ANKARA CD . KESİŞTİGİ YER.	40.0118151	32.89545709999993	1090	40
1144	6. ÇALDIRAN MAH HAYIR SEVER CAMİ ÖNÜ	39.9894353	32.888378500000044	1091	40
1145	7. GEZİ SK. 481. SK KESİŞTİGİ YER.	39.9922368	32.88438789999998	1092	40
1146	8. GEZİ SK BURSA CD KESİŞTİGİ YER.	39.9940834	32.882866000000035	1093	40
1147	9.949. CD. ÖZYURT CD KESİŞTİGİ YER.	39.9998559	32.883781	1094	40
1151	10.ÖZYURT CD ADNAN KAHVECİ CD KESİŞTİGİ YER.	40.0005044	32.87904149999997	1098	40
1152	11.KIZLARPINARI CD. 1065. SK KESİŞTİGİ YER.	39.9982623	32.87338239999997	1099	40
1153	12.KIZLARPINARI CD 426.SK KESİŞTİGİ YER.	39.9964776	32.874044899999944	1100	40
1690	13. KIZLARPINARI CD. BURSA CD. KESİŞTİGİ YER.	39.9911304	32.87493399999994	1634	40
1691	14BURSA CD FEZA SK. KESİŞTİGİ YER.	39.992086929577546	32.878490277909805	1635	40
1692	15İZCİBAŞI SK 489.SK KESİŞTİGİ YER.	39.9878332	32.88313949999997	1636	40
1756	16İRFANBAŞTUĞ CD KAMİLOCAK SK KESİŞTİĞİ YER	39.9828616	32.88682819999997	1700	40
1805	17.İRFANBAŞTUĞ CD 50. SK KESİŞTİĞİ YER	39.9786127	32.88563249999993	1749	40
1806	18.İRFANBAŞTUĞ CD 48. SK KESİŞTİĞİ YER	39.97342099999999	32.882191499999976	1750	40
1807	19.PAŞABAHCE SK SANDALCI SK KESİŞTİĞİ YER	39.9715668	32.87678749999998	1751	40
1808	19.SANDALCI SK FİLYOS SK KESİŞTİĞİ YER	39.96922	32.874914399999966	1752	40
1809	20. SANDALCI SK CİHANGİR CD KESİŞTİĞİ YER	39.9671172	32.87306209999997	1753	40
1882	21. BAKANLIK HİZMET BİNASI	39.9104734	32.793471700000055	1826	40
370	1. TURKUAZ TOKİ KONUTLARI.	39.8087399	32.567411799999945	364	41
371	2. TURKUAZ TOKİ KONUTLARI.	39.8099021	32.57013380000001	365	41
372	3. TURKUAZ TOKİ KONUTLARI.	39.8115666	32.56864100000007	366	41
374	5. TUKUAZ TOKİ KONUTLARI.	39.8138929	32.5744277	368	41
375	4. TURKUAZ TOKİ KONUTLARI.	39.8153539	32.57074269999998	369	41
1703	6. 2375. CD 2382 SK KESİŞTİGİ YER.	39.8779545	32.64941010000007	1647	41
1704	7.Durak	39.8841492	32.65800850000005	1648	41
1729	8 BAKANLIK HİZMET BİNASI	39.910978	32.79266510000002	1673	41
1632	1. 25.CD-YEŞİM MAZASI ÖNÜ.	39.8796045	32.79824770000005	1577	43
1633	2. 1550. CD- 1551 CD. KESİŞTİGİ YER.	39.8815169	32.79841529999999	1578	43
